TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
3.20.20.100	-	0.608294332616387	-0.497096414456421	21	1	0.00273224043715847	366	8395	27384	Akr1c13
3.40.50.1820	-	0.612625668873008	-0.490001183938276	121	5	0.0136612021857923	366	8395	13482,13850,68187,26897,69574	Dpp4,Ephx2,Fam135a,Acot1,Cmbl
2.120.10.80	-	0.623063666147418	-0.473106572563019	73	3	0.00819672131147541	366	8395	277396,226255,74901	Klhl23,Atrnl1,Kbtbd11
3.30.565.10	-	0.625414499106597	-0.469340650494168	22	1	0.00273224043715847	366	8395	22027	Hsp90b1
3.40.525.10	-	0.625414499106597	-0.469340650494168	22	1	0.00273224043715847	366	8395	74136	Sec14l1
1.10.2000.10	-	0.64178835475129	-0.443496695140224	23	1	0.00273224043715847	366	8395	20377	Sfrp1
1.10.720.30	-	0.64178835475129	-0.443496695140224	23	1	0.00273224043715847	366	8395	74840	Manf
3.90.550.10	-	0.650284357060592	-0.430345539354695	76	3	0.00819672131147541	366	8395	14423,78752,14426	Galnt1,Csgalnact2,Galnt4
1.10.418.10	-	0.684359606328694	-0.379271759265941	80	3	0.00819672131147541	366	8395	114601,68794,260315	Ehbp1l1,Flnc,Nav3
3.50.50.60	-	0.69885404799023	-0.358313359708793	55	2	0.00546448087431694	366	8395	212503,14782	Paox,Gsr
4.10.1240.10	-	0.700448890960013	-0.356033876666255	27	1	0.00273224043715847	366	8395	19228	Pth1r
3.40.50.10810	-	0.700448890960013	-0.356033876666255	27	1	0.00273224043715847	366	8395	93761	Smarca1
3.10.250.10	-	0.713550672261267	-0.337501825300006	28	1	0.00273224043715847	366	8395	214523	Tmprss4
2.130.10.10	-	0.764789843745698	-0.268154196954331	325	12	0.0327868852459016	366	8395	98193,19882,14697,269643,18201,20355,66725,18845,72754,11867,68519,20359	Dcaf8,Mst1r,Gnb5,Ppp2r2c,Nsmaf,Sema4f,Lrrk2,Plxna2,Arhgef10l,Arpc1b,Eml1,Sema6b
2.20.100.10	-	0.767643093717431	-0.264430375573166	63	2	0.00546448087431694	366	8395	330267,66548	Thsd7a,Adamtsl5
3.90.1150.10	-	0.799747800342775	-0.223458850587333	36	1	0.00273224043715847	366	8395	104174	Gldc
3.40.390.10	-	0.801661198722947	-0.221069205853462	97	3	0.00819672131147541	366	8395	11502,13522,26561	Adam9,Adam28,Mmp23
1.10.20.10	-	0.839720656481493	-0.174685994260139	74	2	0.00546448087431694	366	8395	51788,404634	H2afz,H2afy2
1.10.4020.10	-	0.839922263463796	-0.174445934922672	41	1	0.00273224043715847	366	8395	80902	Zfp202
2.70.170.10	-	0.846935484867658	-0.166130756218504	42	1	0.00273224043715847	366	8395	14404	Gabre
3.30.1370.10	-	0.872054494968021	-0.136903362796459	46	1	0.00273224043715847	366	8395	140486	Igf2bp1
4.10.280.10	-	0.883734486128302	-0.12359861651859	115	3	0.00819672131147541	366	8395	11864,208104,13819	Arnt2,Mlxip,Epas1
3.30.40.10	-	0.915861079811482	-0.0878905854039381	438	14	0.0382513661202186	366	8395	68867,211978,320311,67702,69097,20821,12217,269424,71956,83671,19824,17318,330812,209200	Rnf122,Zfyve26,Rnf152,Rnf149,Trim15,Trim21,Bsn,Jade1,Rnf135,Sytl2,Trim10,Mid1,Rnf150,Dtx3l
3.30.70.330	-	0.917332008977074	-0.0862858123003725	246	7	0.0191256830601093	366	8395	140486,17975,242570,209200,74213,547253,64685	Igf2bp1,Ncl,Raver2,Dtx3l,Rbm26,Parp14,Nmi
1.20.120.350	-	0.950147332366336	-0.0511382197108432	67	1	0.00273224043715847	366	8395	16532	Kcnu1
3.40.850.10	-	0.969601478058747	-0.0308701392677263	78	1	0.00273224043715847	366	8395	231646	Myo1h
1.25.40.10	-	0.972801460920224	-0.0275752660030394	194	4	0.0109289617486339	366	8395	231147,320429,225608,15958	Sh3tc1,Trank1,Sh3tc2,Ifit2
3.80.10.10	-	0.986819900576467	-0.013267727752346	348	8	0.0218579234972678	366	8395	66725,20562,320398,231296,399558,231549,233328,268973	Lrrk2,Slit1,Lrig3,Lrrc66,Flrt2,Lrrc8d,Lrrk1,Nlrc4
1.10.630.10	-	0.988720044677908	-0.0113440565130336	100	1	0.00273224043715847	366	8395	13113	Cyp3a13
1.25.10.10	-	0.997880981035737	-0.00212126726163358	187	2	0.00546448087431694	366	8395	225849,66725	Ppp2r5b,Lrrk2
3.30.70.960	-	0.999999999962896	-3.71036021972752e-11	16	0	0	366	8395
1.25.40.180	-	0.999999999962896	-3.71036021972752e-11	16	0	0	366	8395
4.10.260.10	-	0.999999999962896	-3.71036021972752e-11	16	0	0	366	8395
1.10.437.10	-	0.999999999962896	-3.71036021972752e-11	16	0	0	366	8395
1.10.400.10	-	0.999999999962896	-3.71036021972752e-11	16	0	0	366	8395
3.20.20.330	-	0.999999999967602	-3.23980211012825e-11	3	0	0	366	8395
2.40.270.10	-	0.999999999967602	-3.23980211012825e-11	3	0	0	366	8395
3.90.1460.10	-	0.999999999967602	-3.23980211012825e-11	3	0	0	366	8395
3.30.110.20	-	0.999999999967602	-3.23980211012825e-11	3	0	0	366	8395
1.20.120.830	-	0.999999999967602	-3.23980211012825e-11	3	0	0	366	8395
1.10.45.10	-	0.999999999967602	-3.23980211012825e-11	3	0	0	366	8395
1.10.3260.10	-	0.999999999967602	-3.23980211012825e-11	3	0	0	366	8395
3.90.1600.10	-	0.999999999967602	-3.23980211012825e-11	3	0	0	366	8395
2.40.50.150	-	0.999999999967602	-3.23980211012825e-11	3	0	0	366	8395
1.10.287.1070	-	0.999999999967602	-3.23980211012825e-11	3	0	0	366	8395
1.10.580.10	-	0.999999999967602	-3.23980211012825e-11	3	0	0	366	8395
3.40.470.10	-	0.999999999967602	-3.23980211012825e-11	3	0	0	366	8395
